workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,pubchem_cid,pubchem_smiles,pubchem_inchikey,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,structure_fragment_count,butina_r2_2048_tanimoto50_cluster,butina_cluster_size,murcko_scaffold,murcko_scaffold_size,cluster_multiplier_group,cluster_multiplier_group_source
1,ATM Kinase Inhibitor,587871-26-9,True,5278396,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO-UHFFFAOYSA-N,XRKYMMUGXMWDAO,XRKYMMUGXMWDAO,,XRKYMMUGXMWDAO,1,B129,1,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,1,B129,resolved_structure_butina
2,ATM/ATR Kinase Inhibitor,905973-89-9,True,6605258,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC3=CC(=C(C=C3)F)[N+](=O)[O-],HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK-UHFFFAOYSA-N,HLCDNLNLQNYZTK,HLCDNLNLQNYZTK,,HLCDNLNLQNYZTK,1,B128,1,O=C(NCNC(=S)Nc1ccccc1)C(c1ccccc1)c1ccccc1,1,B128,resolved_structure_butina
3,AG 1024,65678-07-1,True,2044,CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF-UHFFFAOYSA-N,ABBADGFSRBWENF,ABBADGFSRBWENF,,ABBADGFSRBWENF,1,B127,1,c1ccccc1,5,B127,resolved_structure_butina
4,AGL 2043,226717-28-8,True,9817165,CC1=NC2=C(N1C)C=C3C(=C2)N=C(C=N3)C4=CC=CS4,ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY-UHFFFAOYSA-N,ZGDACLBJJXLKJY,ZGDACLBJJXLKJY,,ZGDACLBJJXLKJY,1,B126,1,c1csc(-c2cnc3cc4[nH]cnc4cc3n2)c1,1,B126,resolved_structure_butina
5,Akt Inhibitor IV,681281-88-9,True,5719375,CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)/C=C/N(C)C6=CC=CC=C6.[I-],NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN-UHFFFAOYSA-M,NAYRELMNTQSBIN,NAYRELMNTQSBIN,,NAYRELMNTQSBIN,2,B125,1,C(=Cc1[nH+]c2cc(-c3nc4ccccc4s3)ccc2n1-c1ccccc1)Nc1ccccc1,1,B125,resolved_structure_butina
6,"Akt Inhibitor V, Triciribine",35943-35-2,True,,,,,,HOGVTUZUJGHKPL,HOGVTUZUJGHKPL,HOGVTUZUJGHKPL,,,,,,U006,unresolved_identity_specific_singleton
7,"Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2",612847-09-3,True,135398501,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8,IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW-UHFFFAOYSA-N,IWCQHVUQEFDRIW,IWCQHVUQEFDRIW,,IWCQHVUQEFDRIW,1,B124,1,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3[nH]c4cc5ncnc5cc4nc3-c3ccccc3)cc2)CC1,1,B124,resolved_structure_butina
8,Akt Inhibitor X,925681-41-0,True,16760284,CCN(CC)CCCCN1C2=CC=CC=C2OC3=C1C=C(C=C3)Cl.Cl,SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC-UHFFFAOYSA-N,SVKSJUIYYCQZEC,SVKSJUIYYCQZEC,,SVKSJUIYYCQZEC,2,B123,1,c1ccc2c(c1)Nc1ccccc1O2,1,B123,resolved_structure_butina
9,Alsterpaullone,237430-03-4,True,5005498,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT-UHFFFAOYSA-N,OLUKILHGKRVDCT,OLUKILHGKRVDCT,,OLUKILHGKRVDCT,1,B006,3,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,3,B006,resolved_structure_butina
10,Alsterpaullone 2-Cyanoethyl,852527-97-0,True,16760286,C1C2=C(C3=C(C=CC(=C3)CCC#N)NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-],UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH-UHFFFAOYSA-N,UBLFSMURWWWWMH,UBLFSMURWWWWMH,,UBLFSMURWWWWMH,1,B006,3,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,3,B006,resolved_structure_butina
11,"Aloisine A, RP107",496864-16-5,True,448912,CCCCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)O,PRIGRJPRGZCFAS-UHFFFAOYSA-N,PRIGRJPRGZCFAS-UHFFFAOYSA-N,PRIGRJPRGZCFAS,PRIGRJPRGZCFAS,,PRIGRJPRGZCFAS,1,B015,2,c1ccc(-c2cc3nccnc3[nH]2)cc1,2,B015,resolved_structure_butina
12,"Aloisine, RP106",496864-15-4,True,3641059,CCCCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)OC,WVMANZPBOBRWCB-UHFFFAOYSA-N,WVMANZPBOBRWCB-UHFFFAOYSA-N,WVMANZPBOBRWCB,WVMANZPBOBRWCB,,WVMANZPBOBRWCB,1,B015,2,c1ccc(-c2cc3nccnc3[nH]2)cc1,2,B015,resolved_structure_butina
13,Aminopurvalanol A,220792-57-4,True,6604931,CC(C)[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC(=C3)N)Cl,RAMROQQYRRQPDL-HNNXBMFYSA-N,RAMROQQYRRQPDL-HNNXBMFYSA-N,RAMROQQYRRQPDL,RAMROQQYRRQPDL,,RAMROQQYRRQPDL,1,B001,4,c1ccc(Nc2ncnc3[nH]cnc23)cc1,3,B001,resolved_structure_butina
14,"AMPK Inhibitor, Compound C",866405-64-3,True,11524144,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,XHBVYDAKJHETMP-UHFFFAOYSA-N,XHBVYDAKJHETMP-UHFFFAOYSA-N,XHBVYDAKJHETMP,XHBVYDAKJHETMP,,XHBVYDAKJHETMP,1,B122,1,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1,1,B122,resolved_structure_butina
15,Aurora Kinase Inhibitor III,879127-16-9,True,9549303,C1CC1C(=O)NC2=CC=CC(=C2)NC3=NC=CC(=N3)NC4=CC=CC(=C4)C(F)(F)F,RDTDWGQDFJPTPD-UHFFFAOYSA-N,RDTDWGQDFJPTPD-UHFFFAOYSA-N,RDTDWGQDFJPTPD,RDTDWGQDFJPTPD,,RDTDWGQDFJPTPD,1,B012,2,O=C(Nc1cccc(Nc2nccc(Nc3ccccc3)n2)c1)C1CC1,1,B012,resolved_structure_butina
16,Aurora Kinase/Cdk Inhibitor,443797-96-4,True,5330790,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,KDKUVYLMPJIGKA-UHFFFAOYSA-N,KDKUVYLMPJIGKA-UHFFFAOYSA-N,KDKUVYLMPJIGKA,KDKUVYLMPJIGKA,,KDKUVYLMPJIGKA,1,B014,2,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,1,B014,resolved_structure_butina
17,BAY 11-7082,19542-67-7,True,5353431,CC1=CC=C(C=C1)S(=O)(=O)/C=C/C#N,DOEWDSDBFRHVAP-KRXBUXKQSA-N,DOEWDSDBFRHVAP-KRXBUXKQSA-N,DOEWDSDBFRHVAP,DOEWDSDBFRHVAP,,DOEWDSDBFRHVAP,1,B121,1,c1ccccc1,5,B121,resolved_structure_butina
18,Bcr-abl Inhibitor,778270-11-4,True,5311510,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,WEVYNIUIFUYDGI-UHFFFAOYSA-N,WEVYNIUIFUYDGI-UHFFFAOYSA-N,WEVYNIUIFUYDGI,WEVYNIUIFUYDGI,,WEVYNIUIFUYDGI,1,B120,1,c1ccc(Nc2cc(-c3ccccc3)ncn2)cc1,1,B120,resolved_structure_butina
19,Bisindolylmaleimide I,133052-90-1,True,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,QMGUOJYZJKLOLH-UHFFFAOYSA-N,QMGUOJYZJKLOLH-UHFFFAOYSA-N,QMGUOJYZJKLOLH,QMGUOJYZJKLOLH,,QMGUOJYZJKLOLH,1,B005,3,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,3,B005,resolved_structure_butina
20,Bisindolylmaleimide IV,119139-23-0,True,2399,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,DQYBRTASHMYDJG-UHFFFAOYSA-N,DQYBRTASHMYDJG-UHFFFAOYSA-N,DQYBRTASHMYDJG,DQYBRTASHMYDJG,,DQYBRTASHMYDJG,1,B005,3,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,3,B005,resolved_structure_butina
21,Bohemine,189232-42-6,True,2422,CC(C)N1C=NC2=C(N=C(N=C21)NCCCO)NCC3=CC=CC=C3,OPQGFIAVPSXOBO-UHFFFAOYSA-N,OPQGFIAVPSXOBO-UHFFFAOYSA-N,OPQGFIAVPSXOBO,OPQGFIAVPSXOBO,,OPQGFIAVPSXOBO,1,B001,4,c1ccc(CNc2ncnc3[nH]cnc23)cc1,3,B001,resolved_structure_butina
22,BPIQ-I,174709-30-9,True,2427,CN1C=NC2=C1C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)Br,YAMAGACQNDAKFB-UHFFFAOYSA-N,YAMAGACQNDAKFB-UHFFFAOYSA-N,YAMAGACQNDAKFB,YAMAGACQNDAKFB,,YAMAGACQNDAKFB,1,B003,3,c1ccc(Nc2ncnc3cc4[nH]cnc4cc23)cc1,1,B003,resolved_structure_butina
23,Cdk1 Inhibitor,220749-41-7,True,5472558,C1=CC=C2C(=C1)/C(=C\C3=C(NC4=CC=CC=C43)Cl)/C(=O)N2,QJKBRWSJWQVKLY-UKTHLTGXSA-N,QJKBRWSJWQVKLY-UKTHLTGXSA-N,QJKBRWSJWQVKLY,QJKBRWSJWQVKLY,,QJKBRWSJWQVKLY,1,B119,1,O=C1Nc2ccccc2C1=Cc1c[nH]c2ccccc12,2,B119,resolved_structure_butina
24,"Cdk1 Inhibitor, CGP74514A",190654-01-4,True,9908173,CCN1C=NC2=C(N=C(N=C21)N[C@H]3CCCC[C@H]3N)NC4=CC(=CC=C4)Cl,UTBSBSOBZHXMHI-CABCVRRESA-N,UTBSBSOBZHXMHI-CABCVRRESA-N,UTBSBSOBZHXMHI,UTBSBSOBZHXMHI,,UTBSBSOBZHXMHI,1,B118,1,c1ccc(Nc2nc(NC3CCCCC3)nc3[nH]cnc23)cc1,1,B118,resolved_structure_butina
25,Cdk1/2 Inhibitor III,443798-55-8,True,5330812,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,ARIOBGGRZJITQX-UHFFFAOYSA-N,ARIOBGGRZJITQX-UHFFFAOYSA-N,ARIOBGGRZJITQX,ARIOBGGRZJITQX,,ARIOBGGRZJITQX,1,B014,2,S=C(Nc1ccccc1)n1cnc(Nc2ccccc2)n1,1,B014,resolved_structure_butina
26,Cdk1/5 Inhibitor,40254-90-8,True,438981,C1=CC2=NC3=C(NN=C3N=C2C=C1)N,DWHVZCLBMTZRQM-UHFFFAOYSA-N,DWHVZCLBMTZRQM-UHFFFAOYSA-N,DWHVZCLBMTZRQM,DWHVZCLBMTZRQM,,DWHVZCLBMTZRQM,1,B117,1,c1ccc2nc3n[nH]cc3nc2c1,1,B117,resolved_structure_butina
27,"Casein Kinase I Inhibitor, D4476",301836-43-1,True,6419753,C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,DPDZHVCKYBCJHW-UHFFFAOYSA-N,DPDZHVCKYBCJHW-UHFFFAOYSA-N,DPDZHVCKYBCJHW,DPDZHVCKYBCJHW,,DPDZHVCKYBCJHW,1,B116,1,c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,1,B116,resolved_structure_butina
28,"Casein Kinase II Inhibitor III, TBCA",934358-00-6,True,16760346,C1=C(C(=C(C(=C1Br)Br)Br)Br)/C=C/C(=O)O,SVJQCVOKYJWUBC-OWOJBTEDSA-N,SVJQCVOKYJWUBC-OWOJBTEDSA-N,SVJQCVOKYJWUBC,SVJQCVOKYJWUBC,,SVJQCVOKYJWUBC,1,B115,1,c1ccccc1,5,B115,resolved_structure_butina
29,Cdk4 Inhibitor,546102-60-7,True,5330797,C1=CC=C2C(=C1)C3=C4C(=C5C6=C(C=C(C=C6)Br)NC5=C3N2)C(=O)NC4=O,NMFKDDRQSNVETB-UHFFFAOYSA-N,NMFKDDRQSNVETB-UHFFFAOYSA-N,NMFKDDRQSNVETB,NMFKDDRQSNVETB,,NMFKDDRQSNVETB,1,B114,1,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,1,B114,resolved_structure_butina
30,Cdk4 Inhibitor II NSC 625987,141992-47-4,True,3004085,COC1=C2C(=C(C=C1)OC)NC3=CC=CC=C3C2=S,KFAKESMKRPNZTM-UHFFFAOYSA-N,KFAKESMKRPNZTM-UHFFFAOYSA-N,KFAKESMKRPNZTM,KFAKESMKRPNZTM,,KFAKESMKRPNZTM,1,B113,1,S=c1c2ccccc2[nH]c2ccccc12,1,B113,resolved_structure_butina
31,Cdk4 Inhibitor III,265312-55-8,True,481747,CC1=CC=C(C=C1)NC2=CC(=O)C3=C(C2=O)N=C(S3)C,HFPLHASLIOXVGS-UHFFFAOYSA-N,HFPLHASLIOXVGS-UHFFFAOYSA-N,HFPLHASLIOXVGS,HFPLHASLIOXVGS,,HFPLHASLIOXVGS,1,B112,1,O=C1C(Nc2ccccc2)=CC(=O)c2scnc21,1,B112,resolved_structure_butina
32,"Cdc2-Like Kinase Inhibitor, TG003",300801-52-9,True,,,,,,BGVLELSCIHASRV,BGVLELSCIHASRV,BGVLELSCIHASRV,,,,,,U032,unresolved_identity_specific_singleton
33,Cdk/Crk Inhibitor,784211-09-2,True,135473382,CC(C)C1=NN(C2=C1C(=O)NC(=N2)CC3=CC=C(C=C3)OCCO)C4=C(C=CC=C4Cl)Cl,RSQPNXBTPUXMQN-UHFFFAOYSA-N,RSQPNXBTPUXMQN-UHFFFAOYSA-N,RSQPNXBTPUXMQN,RSQPNXBTPUXMQN,,RSQPNXBTPUXMQN,1,B111,1,O=c1[nH]c(Cc2ccccc2)nc2c1cnn2-c1ccccc1,1,B111,resolved_structure_butina
34,Chelerythrine Chloride,3895-92-9,True,72311,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-],WEEFNMFMNMASJY-UHFFFAOYSA-M,WEEFNMFMNMASJY-UHFFFAOYSA-M,WEEFNMFMNMASJY,WEEFNMFMNMASJY,,WEEFNMFMNMASJY,2,B110,1,c1ccc2c(c1)c[nH+]c1c3cc4c(cc3ccc21)OCO4,1,B110,resolved_structure_butina
35,Chk2 Inhibitor II,516480-79-8,True,9969021,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C(=O)N)OC4=CC=C(C=C4)Cl,UXGJAOIJSROTTN-UHFFFAOYSA-N,UXGJAOIJSROTTN-UHFFFAOYSA-N,UXGJAOIJSROTTN,UXGJAOIJSROTTN,,UXGJAOIJSROTTN,1,B109,1,c1ccc(Oc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,1,B109,resolved_structure_butina
36,Compound 52,212779-48-1,True,2856,CC(C)N1C=NC2=C(N=C(N=C21)NCCO)NC3=CC(=CC=C3)Cl,XZEFMZCNXDQXOZ-UHFFFAOYSA-N,XZEFMZCNXDQXOZ-UHFFFAOYSA-N,XZEFMZCNXDQXOZ,XZEFMZCNXDQXOZ,,XZEFMZCNXDQXOZ,1,B001,4,c1ccc(Nc2ncnc3[nH]cnc23)cc1,3,B001,resolved_structure_butina
37,Compound 56,171745-13-4,True,2857,CCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OCC,YXOXHAUUTIOBDA-UHFFFAOYSA-N,YXOXHAUUTIOBDA-UHFFFAOYSA-N,YXOXHAUUTIOBDA,YXOXHAUUTIOBDA,,YXOXHAUUTIOBDA,1,B000,6,c1ccc(Nc2ncnc3ccccc23)cc1,4,B000,resolved_structure_butina
38,Cdk2 Inhibitor III,199986-75-9,True,6918386,CC(C)N1C=NC2=C(N=C(N=C21)N(CCO)CCO)NCC3=CC=C(C=C3)OC,NQVIIUBWMBHLOZ-UHFFFAOYSA-N,NQVIIUBWMBHLOZ-UHFFFAOYSA-N,NQVIIUBWMBHLOZ,NQVIIUBWMBHLOZ,,NQVIIUBWMBHLOZ,1,B108,1,c1ccc(CNc2ncnc3[nH]cnc23)cc1,3,B108,resolved_structure_butina
39,"Cdk2 Inhibitor IV, NU6140",444723-13-1,True,10202471,CCN(CC)C(=O)C1=CC=C(C=C1)NC2=NC3=C(C(=N2)OCC4CCCCC4)NC=N3,XHEQSRJCJTWWAH-UHFFFAOYSA-N,XHEQSRJCJTWWAH-UHFFFAOYSA-N,XHEQSRJCJTWWAH,XHEQSRJCJTWWAH,,XHEQSRJCJTWWAH,1,B107,1,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,1,B107,resolved_structure_butina
40,DNA-PK Inhibitor II,154447-35-5,True,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,KKTZALUTXUZPSN-UHFFFAOYSA-N,KKTZALUTXUZPSN-UHFFFAOYSA-N,KKTZALUTXUZPSN,KKTZALUTXUZPSN,,KKTZALUTXUZPSN,1,B004,3,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,1,B004,resolved_structure_butina
41,DNA-PK Inhibitor III,404009-40-1,True,9859309,CC(=O)C1=C(C=C(C=C1)N2CCOCC2)O,YHKSBKQXCWHTQL-UHFFFAOYSA-N,YHKSBKQXCWHTQL-UHFFFAOYSA-N,YHKSBKQXCWHTQL,YHKSBKQXCWHTQL,,YHKSBKQXCWHTQL,1,B013,2,c1ccc(N2CCOCC2)cc1,1,B013,resolved_structure_butina
42,DNA-PK Inhibitor V,404009-46-7,True,16760391,C1COCCN1C2=CC(=C(C=C2)C(=O)C3=CC=CC=C3)O,FALILNHGILFDLC-UHFFFAOYSA-N,FALILNHGILFDLC-UHFFFAOYSA-N,FALILNHGILFDLC,FALILNHGILFDLC,,FALILNHGILFDLC,1,B013,2,O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1,1,B013,resolved_structure_butina
43,Diacylglycerol Kinase Inhibitor II,120166-69-0,True,657356,C1CN(CCC1=C(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)CCN4C(=O)C5=CC=CC=C5NC4=S,ZCNBZFRECRPCKU-UHFFFAOYSA-N,ZCNBZFRECRPCKU-UHFFFAOYSA-N,ZCNBZFRECRPCKU,ZCNBZFRECRPCKU,,ZCNBZFRECRPCKU,1,B106,1,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccccc2)c2ccccc2)CC1,1,B106,resolved_structure_butina
44,DMBI,5812-07-7,True,,,,,,UAKWLVYMKBWHMX,UAKWLVYMKBWHMX,UAKWLVYMKBWHMX,,,,,,U044,unresolved_identity_specific_singleton
45,EGFR/ErbB-2 Inhibitor,179248-61-4,True,9843206,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OCC4=CC=CC=C4)OC,DNOKYISWMVFYFA-UHFFFAOYSA-N,DNOKYISWMVFYFA-UHFFFAOYSA-N,DNOKYISWMVFYFA,DNOKYISWMVFYFA,,DNOKYISWMVFYFA,1,B000,6,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,1,B000,resolved_structure_butina
46,EGFR Inhibitor,879127-07-8,True,9549299,C1CC1C(=O)NC2=CC=CC(=C2)NC3=NC=NC(=C3)NC4=CC=CC(=C4)C(F)(F)F,YOHYSYJDKVYCJI-UHFFFAOYSA-N,YOHYSYJDKVYCJI-UHFFFAOYSA-N,YOHYSYJDKVYCJI,YOHYSYJDKVYCJI,,YOHYSYJDKVYCJI,1,B012,2,O=C(Nc1cccc(Nc2cc(Nc3ccccc3)ncn2)c1)C1CC1,1,B012,resolved_structure_butina
47,EGFR/ErbB-2/ErbB-4 Inhibitor,881001-19-0,True,11566580,CC#CC(=O)NC1=NC=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl,DLPSDPPZXRJQOY-UHFFFAOYSA-N,DLPSDPPZXRJQOY-UHFFFAOYSA-N,DLPSDPPZXRJQOY,DLPSDPPZXRJQOY,,DLPSDPPZXRJQOY,1,B105,1,c1ccc(Nc2ncnc3cnccc23)cc1,2,B105,resolved_structure_butina
48,"ERK Inhibitor II, FR180204",865362-74-9,True,11493598,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,XVECMUKVOMUNLE-UHFFFAOYSA-N,XVECMUKVOMUNLE-UHFFFAOYSA-N,XVECMUKVOMUNLE,XVECMUKVOMUNLE,,XVECMUKVOMUNLE,1,B104,1,c1ccc(-c2nn3ccccc3c2-c2cc3c[nH]nc3nn2)cc1,1,B104,resolved_structure_butina
49,ERK Inhibitor III,345616-52-6,True,,,,,,RODAAYVFYDKHGT;USTUZACYWHRDNL,RODAAYVFYDKHGT;USTUZACYWHRDNL,RODAAYVFYDKHGT;USTUZACYWHRDNL,,,,,,U049,unresolved_identity_specific_singleton
50,"Fascaplysin, Synthetic",114719-57-2,True,73293,C1=CC=C2C(=C1)C3=C(N2)C4=[N+](C=C3)C5=CC=CC=C5C4=O,WYQIPCUPNMRAKP-UHFFFAOYSA-O,WYQIPCUPNMRAKP-UHFFFAOYSA-O,WYQIPCUPNMRAKP,WYQIPCUPNMRAKP,,WYQIPCUPNMRAKP,1,B103,1,O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,1,B103,resolved_structure_butina
51,Flt-3 Inhibitor,301305-73-7,True,1048845,COC1=C(C=C(C=C1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)OC,FSPQCTGGIANIJZ-UHFFFAOYSA-N,FSPQCTGGIANIJZ-UHFFFAOYSA-N,FSPQCTGGIANIJZ,FSPQCTGGIANIJZ,,FSPQCTGGIANIJZ,1,B102,1,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,1,B102,resolved_structure_butina
52,Flt-3 Inhibitor II,896138-40-2,True,11601743,C1=CC2=C(C=C1O)C=C(N2)C(=O)C3=CC4=C(N3)C=CC(=C4)O,NIMIWWQLOGNYHD-UHFFFAOYSA-N,NIMIWWQLOGNYHD-UHFFFAOYSA-N,NIMIWWQLOGNYHD,NIMIWWQLOGNYHD,,NIMIWWQLOGNYHD,1,B101,1,O=C(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,2,B101,resolved_structure_butina
53,Flt-3 Inhibitor III,852045-46-6,True,11772958,C1CCN(C1)CCOC2=CC=C(C=C2)NC3=NC=C(S3)C4=CC=CC=C4,FNZTULJDGIXMJJ-UHFFFAOYSA-N,FNZTULJDGIXMJJ-UHFFFAOYSA-N,FNZTULJDGIXMJJ,FNZTULJDGIXMJJ,,FNZTULJDGIXMJJ,1,B100,1,c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,1,B100,resolved_structure_butina
54,cFMS Receptor Tyrosine Kinase Inhibitor,870483-87-7,True,11617559,COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC,MYQAUKPBNJWPIE-UHFFFAOYSA-N,MYQAUKPBNJWPIE-UHFFFAOYSA-N,MYQAUKPBNJWPIE,MYQAUKPBNJWPIE,,MYQAUKPBNJWPIE,1,B099,1,c1ccc(COc2ccc(Cc3cncnc3)cc2)cc1,1,B099,resolved_structure_butina
55,GSK-3b Inhibitor I,327036-89-5,True,4124851,CN1C(=O)N(C(=O)S1)CC2=CC=CC=C2,JDSJDASOXWCHPN-UHFFFAOYSA-N,JDSJDASOXWCHPN-UHFFFAOYSA-N,JDSJDASOXWCHPN,JDSJDASOXWCHPN,,JDSJDASOXWCHPN,1,B098,1,O=c1[nH]sc(=O)n1Cc1ccccc1,1,B098,resolved_structure_butina
56,GSK-3b Inhibitor II,478482-75-6,True,6539732,C1=CC(=CC(=C1)I)CSC2=NN=C(O2)C3=CC=NC=C3,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,ZRHRPGSSSVYBRG,ZRHRPGSSSVYBRG,,ZRHRPGSSSVYBRG,1,B097,1,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,1,B097,resolved_structure_butina
57,GSK-3b Inhibitor VIII,487021-52-3,True,448014,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-],YAEMHJKFIIIULI-UHFFFAOYSA-N,YAEMHJKFIIIULI-UHFFFAOYSA-N,YAEMHJKFIIIULI,YAEMHJKFIIIULI,,YAEMHJKFIIIULI,1,B096,1,O=C(NCc1ccccc1)Nc1nccs1,1,B096,resolved_structure_butina
58,GSK-3 Inhibitor IX,667463-62-9,True,448949,C1=CC=C2C(=C1)C(=C(N2)C3=C(NC4=C3C=CC(=C4)Br)O)N=O,SAQUSDSPQYQNBG-UHFFFAOYSA-N,SAQUSDSPQYQNBG-UHFFFAOYSA-N,SAQUSDSPQYQNBG,SAQUSDSPQYQNBG,,SAQUSDSPQYQNBG,1,B011,2,c1ccc2[nH]c(-c3c[nH]c4ccccc34)cc2c1,2,B011,resolved_structure_butina
59,GSK-3 Inhibitor X,740841-15-0,True,,,,,,HUDSYNWJCPDHLL,HUDSYNWJCPDHLL,HUDSYNWJCPDHLL,,,,,,U059,unresolved_identity_specific_singleton
60,GSK-3b Inhibitor XI,626604-39-5,True,10020713,C1=CC2=C(N=C1)N(C=C2C3=C(C(=O)NC3=O)C4=NC=CN=C4)CCCO,ZDEJZKULWCZIHL-UHFFFAOYSA-N,ZDEJZKULWCZIHL-UHFFFAOYSA-N,ZDEJZKULWCZIHL,ZDEJZKULWCZIHL,,ZDEJZKULWCZIHL,1,B095,1,O=C1NC(=O)C(c2c[nH]c3ncccc23)=C1c1cnccn1,1,B095,resolved_structure_butina
